"datetime","headline","source","url","summary","related","image","lang","hasPaywall","symbol"
"1604093289000","Were FAANG Stocks Declawed by Mixed Earnings?","InvestorPlace","https://cloud.iexapis.com/v1/news/article/f8dac9df-e434-48f0-83a7-c9ae96352a31","Despite a pullback Friday, the FAANG stocks are thriving thanks not only to the services they provide today, but their adoption of the indispensable technologies of the future, like AI and 5G.","NFLX","https://cloud.iexapis.com/v1/news/image/f8dac9df-e434-48f0-83a7-c9ae96352a31","en","False",""
"1604085039000","La série “Barbares” sur Netflix : qu’ils étaient barbares, ces Romains !","Courrier Inter","https://cloud.iexapis.com/v1/news/article/10b3dee1-816a-43e6-ae49-4998426bd03e","Mise en ligne le 23 octobre, la nouvelle série de Netflix cartonne en France. Mais en Allemagne, ce très libre récit de la bataille de Teutobourg qui, en l’an 9 de notre ère, a opposé les Romains à une coalition de tribus germaniques, s’est attiré les railleries de la presse.","NFLX","https://cloud.iexapis.com/v1/news/image/10b3dee1-816a-43e6-ae49-4998426bd03e","fr","False",""
"1604080740000","Alphabet Jumps on Earnings - How to Trade the Stock Now","The Street","https://cloud.iexapis.com/v1/news/article/dd233a1b-54ac-48e3-bf02-646f34005e52","Alphabet is the only FAANG component higher on Friday. Here's how to trade the stock post-earnings.","NFLX","https://cloud.iexapis.com/v1/news/image/dd233a1b-54ac-48e3-bf02-646f34005e52","en","False",""
"1604079258000","Voici le calendrier 2020 des films et séries de Noël à voir sur Netflix","Business Insider France","https://cloud.iexapis.com/v1/news/article/f3b43574-7559-475f-8197-20c26c8830ed","No summary available.","NFLX","https://cloud.iexapis.com/v1/news/image/f3b43574-7559-475f-8197-20c26c8830ed","fr","False",""
"1604075234000","cryptojeff - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/f8e83d82-4651-4cb1-b16a-0e1799bc6f7e","cryptojeff Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil, Natural Gas, Corn, BitcoinRead More","NFLX","https://cloud.iexapis.com/v1/news/image/f8e83d82-4651-4cb1-b16a-0e1799bc6f7e","en","False",""
"1604073649000","HODL YFI - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/dc54134b-193b-448c-9527-816d8a176fb2","HODL YFI Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil, Natural Gas, Corn,Read More","NFLX","https://cloud.iexapis.com/v1/news/image/dc54134b-193b-448c-9527-816d8a176fb2","en","False",""
"1604072603000","VET/BTC - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/501bed51-1dae-4ca3-b7b4-2d93db5fb270","VET/BTC Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil, Natural Gas, Corn, BitcoinRead More","NFLX","https://cloud.iexapis.com/v1/news/image/501bed51-1dae-4ca3-b7b4-2d93db5fb270","en","False",""
"1604066521000","Apple Falls 4% As iPhone Sales Disappoint, But Most FAANG Results, Including Amazon's, Look Firm","Benzinga","https://cloud.iexapis.com/v1/news/article/91741476-5430-4d0a-99ab-816b81570455","Maybe it’s the Halloween effect, because investors saw FAANG earnings yesterday evening and got spooked. Futures took a scary ride downward overnight, including a 500-point screeching plunge for futures on the Dow Jones Industrial Average ($DJI) at one point. Those clawed back quite a ways ahead of the open, but a generally red tone still prevails and selling picked up again as the open neared. This continues a rough week where the S&P 500 Index (SPX) is already down 4.5% and stocks are on track for their worst weekly performance since March. A few days ago, most of the blame centered on virus caseloads and lack of a stimulus agreement. Profit-taking ahead of the election also seemed to play a big role in the downturn. None of those factors have left the building. Today, though, attention turns more toward the FAANG stocks, especially Apple Inc. (NASDAQ: AAPL ), which got punished overnight after missing iPhone projections. Tech is supposed to be the market’s “savior” and there was a lot of build-up about how good things would be.","NFLX","https://cloud.iexapis.com/v1/news/image/91741476-5430-4d0a-99ab-816b81570455","en","False",""
"1604063523000","ETHUSD WOW LONG - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/9635a402-2088-4a39-8627-0ec579cdf27c","ETHUSD WOW LONG Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil, Natural Gas,Read More","NFLX","https://cloud.iexapis.com/v1/news/image/9635a402-2088-4a39-8627-0ec579cdf27c","en","False",""
"1604062919000","Netflix estrenará El cuaderno de Tommy, sobre Marie Vázquez y su lucha contra el cáncer","Clarin","https://cloud.iexapis.com/v1/news/article/e68fe97d-faa6-42ad-a8a6-316d1e0ea2f2","En su agonía, la arquitecta y artista plástica argentina escribió un libro para que su hijo la recordara. Su versión fílmica se llegará en noviembre","NFLX","https://cloud.iexapis.com/v1/news/image/e68fe97d-faa6-42ad-a8a6-316d1e0ea2f2","es","False",""
"1604062651000","happy $alt mountain day! - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/5141e25b-9d46-4bd3-a0a0-8329e97c4b51","happy $alt mountain day! Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil, NaturalRead More","NFLX","https://cloud.iexapis.com/v1/news/image/5141e25b-9d46-4bd3-a0a0-8329e97c4b51","en","False",""
"1604061140000","Una actriz de la serie Emily in París contó que tuvo leucemia","Clarin","https://cloud.iexapis.com/v1/news/article/ace9c720-3b80-4e3c-90e9-98ea73f12d49","Ashley Park (Mindy en la popular ficción de Netflix) conmovió a los fans con su relato.","NFLX","https://cloud.iexapis.com/v1/news/image/ace9c720-3b80-4e3c-90e9-98ea73f12d49","es","False",""
"1604055407000","NFLX Shares Up 3.70% on Thursday after Netflix Raised Subscription Prices - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/69a166e7-3531-452d-a734-647e24451ad1","NFLX Shares Up 3.70% on Thursday after Netflix Raised Subscription Prices Netflix announced on Thursday that its customers who have subscribed to standard and premium plans will be parting away with $13.99 and $17.99 respectively. Shares of American streaming media company Netflix Inc (NASDAQ: NFLX) advanced 3.70% on Thursday to close the day trading atRead More","NFLX","https://cloud.iexapis.com/v1/news/image/69a166e7-3531-452d-a734-647e24451ad1","en","False",""
"1604054829000","NFLX Shares Up 3.70% after Netflix Raised Subscription Prices","Coinspeaker","https://cloud.iexapis.com/v1/news/article/a54e2fa8-18a2-4709-93b4-0dd78dab146c","Shares of American streaming media company Netflix Inc (NASDAQ: NFLX) advanced 3.70% on Thursday to close the day trading at $504.21.","NFLX","https://cloud.iexapis.com/v1/news/image/a54e2fa8-18a2-4709-93b4-0dd78dab146c","en","False",""
"1604054685000","Netflix augmente le prix de deux de ses formules d'abonnement aux Etats-Unis","Business Insider France","https://cloud.iexapis.com/v1/news/article/268c0ab8-2a09-4fb4-bd72-5705e20cafbf","No summary available.","NFLX","https://cloud.iexapis.com/v1/news/image/268c0ab8-2a09-4fb4-bd72-5705e20cafbf","fr","False",""
"1604051828000","xrpbtc longs - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/d83c7284-b544-4a5f-ab99-a2e248c068ba","xrpbtc longs Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil, Natural Gas, Corn,Read More","NFLX","https://cloud.iexapis.com/v1/news/image/d83c7284-b544-4a5f-ab99-a2e248c068ba","en","False",""
"1604046626000","Se avecina una nueva subida de precios en las suscripciones de Netflix","El Pais Cinco Dias","https://cloud.iexapis.com/v1/news/article/1f1e9942-f5d5-4f61-8575-a17fcb154789","En EE.UU. la plataforma vuelve a incrementar las tarifas.","NFLX","https://cloud.iexapis.com/v1/news/image/1f1e9942-f5d5-4f61-8575-a17fcb154789","es","False",""
"1604040731000","MSFT - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/d3b1ff67-b251-4247-a5df-6dad6df915f1","MSFT Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil, Natural Gas, Corn, BitcoinRead More","NFLX","https://cloud.iexapis.com/v1/news/image/d3b1ff67-b251-4247-a5df-6dad6df915f1","en","False",""
"1604035703000","¿Invertirías en Netflix, Amazon o Spotify? Tres razones para apostar por el negocio de las suscripciones","20minutos Spain","https://cloud.iexapis.com/v1/news/article/47395f6b-32b0-45c1-b3cf-c3e7380cfab2","No summary available.","NFLX","https://cloud.iexapis.com/v1/news/image/47395f6b-32b0-45c1-b3cf-c3e7380cfab2","es","False",""
